participant_id,split,sample_id,mode,row_start,row_end_exclusive,sequence_length,timestamp_start,timestamp_end,segment_id_start,segment_id_end,crosses_segment_boundary,padded_length,padding_steps,valid_target_steps
20,train,2,sliding,100,400,300,50500,200000,5,28,True,300,0,300
20,train,3,sliding,150,450,300,75500,225000,9,33,True,300,0,300
20,train,4,sliding,200,500,300,100500,250000,12,36,True,300,0,300
20,train,5,sliding,250,542,292,125500,271000,16,38,True,300,8,292
23,train,0,sliding,0,300,300,500,150000,1,18,True,300,0,300
23,train,1,sliding,50,350,300,25500,175000,2,21,True,300,0,300
23,train,2,sliding,100,400,300,50500,200000,5,25,True,300,0,300
23,train,3,sliding,150,450,300,75500,225000,8,28,True,300,0,300
23,train,4,sliding,200,500,300,100500,250000,12,33,True,300,0,300
23,train,5,sliding,250,550,300,125500,275000,14,37,True,300,0,300
23,train,6,sliding,300,596,296,150500,298000,18,40,True,300,4,296
24,train,0,sliding,0,300,300,500,150000,1,26,True,300,0,300
24,train,1,sliding,50,350,300,25500,175000,6,30,True,300,0,300
24,train,2,sliding,100,400,300,50500,200000,10,33,True,300,0,300
24,train,3,sliding,150,450,300,75500,225000,14,36,True,300,0,300
24,train,4,sliding,200,500,300,100500,250000,19,40,True,300,0,300
24,train,5,sliding,250,550,300,125500,275000,20,45,True,300,0,300
24,train,6,sliding,300,596,296,150500,298000,26,46,True,300,4,296
29,train,0,sliding,0,300,300,500,150000,1,16,True,300,0,300
29,train,1,sliding,50,350,300,25500,175000,3,19,True,300,0,300
29,train,2,sliding,100,400,300,50500,200000,5,21,True,300,0,300
29,train,3,sliding,150,450,300,75500,225000,8,26,True,300,0,300
29,train,4,sliding,200,500,300,100500,250000,10,28,True,300,0,300
29,train,5,sliding,250,550,300,125500,275000,13,31,True,300,0,300
29,train,6,sliding,300,598,298,150500,299000,16,33,True,300,2,298
30,train,0,sliding,0,300,300,500,150000,1,18,True,300,0,300
30,train,1,sliding,50,350,300,25500,175000,5,23,True,300,0,300
30,train,2,sliding,100,400,300,50500,200000,8,27,True,300,0,300
30,train,3,sliding,150,450,300,75500,225000,10,30,True,300,0,300
30,train,4,sliding,200,500,300,100500,250000,14,35,True,300,0,300
30,train,5,sliding,250,550,300,125500,275000,15,38,True,300,0,300
30,train,6,sliding,300,600,300,150500,300000,18,41,True,300,0,300
30,train,7,sliding,350,602,252,175500,301000,23,41,True,300,48,252
31,train,0,sliding,0,300,300,500,150000,1,19,True,300,0,300
31,train,1,sliding,50,350,300,25500,175000,3,24,True,300,0,300
31,train,2,sliding,100,400,300,50500,200000,5,29,True,300,0,300
31,train,3,sliding,150,450,300,75500,225000,9,31,True,300,0,300
31,train,4,sliding,200,500,300,100500,250000,12,35,True,300,0,300
31,train,5,sliding,250,550,300,125500,275000,15,37,True,300,0,300
31,train,6,sliding,300,600,300,150500,300000,19,39,True,300,0,300
31,train,7,sliding,350,624,274,175500,312000,24,39,True,300,26,274
32,train,0,sliding,0,300,300,500,150000,1,22,True,300,0,300
32,train,1,sliding,50,350,300,25500,175000,3,25,True,300,0,300
32,train,2,sliding,100,400,300,50500,200000,5,27,True,300,0,300
32,train,3,sliding,150,450,300,75500,225000,7,28,True,300,0,300
32,train,4,sliding,200,500,300,100500,250000,11,30,True,300,0,300
32,train,5,sliding,250,550,300,125500,275000,17,31,True,300,0,300
32,train,6,sliding,300,598,298,150500,299000,22,32,True,300,2,298
33,train,0,sliding,0,300,300,500,150000,1,19,True,300,0,300
33,train,1,sliding,50,350,300,25500,175000,4,20,True,300,0,300
33,train,2,sliding,100,400,300,50500,200000,7,24,True,300,0,300
33,train,3,sliding,150,450,300,75500,225000,10,26,True,300,0,300
33,train,4,sliding,200,500,300,100500,250000,12,30,True,300,0,300
33,train,5,sliding,250,550,300,125500,275000,15,34,True,300,0,300
33,train,6,sliding,300,596,296,150500,298000,19,36,True,300,4,296
35,train,0,sliding,0,300,300,500,150000,1,19,True,300,0,300
35,train,1,sliding,50,350,300,25500,175000,3,23,True,300,0,300
35,train,2,sliding,100,400,300,50500,200000,6,29,True,300,0,300
35,train,3,sliding,150,450,300,75500,225000,11,32,True,300,0,300
35,train,4,sliding,200,500,300,100500,250000,13,35,True,300,0,300
35,train,5,sliding,250,550,300,125500,275000,16,38,True,300,0,300
35,train,6,sliding,300,592,292,150500,296000,19,41,True,300,8,292
36,train,0,sliding,0,300,300,500,150000,1,16,True,300,0,300
36,train,1,sliding,50,350,300,25500,175000,3,17,True,300,0,300
36,train,2,sliding,100,400,300,50500,200000,5,20,True,300,0,300
36,train,3,sliding,150,450,300,75500,225000,7,23,True,300,0,300
36,train,4,sliding,200,500,300,100500,250000,11,27,True,300,0,300
36,train,5,sliding,250,550,300,125500,275000,14,31,True,300,0,300
36,train,6,sliding,300,588,288,150500,294000,16,33,True,300,12,288
38,train,0,sliding,0,300,300,500,150000,1,27,True,300,0,300
38,train,1,sliding,50,350,300,25500,175000,5,31,True,300,0,300
38,train,2,sliding,100,400,300,50500,200000,9,35,True,300,0,300
38,train,3,sliding,150,450,300,75500,225000,12,41,True,300,0,300
38,train,4,sliding,200,500,300,100500,250000,17,45,True,300,0,300
38,train,5,sliding,250,550,300,125500,275000,22,51,True,300,0,300
38,train,6,sliding,300,600,300,150500,300000,27,55,True,300,0,300
38,train,7,sliding,350,614,264,175500,307000,31,55,True,300,36,264
42,train,0,sliding,0,300,300,500,150000,1,25,True,300,0,300
42,train,1,sliding,50,350,300,25500,175000,3,31,True,300,0,300
42,train,2,sliding,100,400,300,50500,200000,7,34,True,300,0,300
42,train,3,sliding,150,450,300,75500,225000,13,38,True,300,0,300
42,train,4,sliding,200,500,300,100500,250000,18,42,True,300,0,300
42,train,5,sliding,250,550,300,125500,275000,22,48,True,300,0,300
42,train,6,sliding,300,600,300,150500,300000,25,53,True,300,0,300
42,train,7,sliding,350,634,284,175500,317000,31,54,True,300,16,284
43,train,0,sliding,0,300,300,500,150000,1,19,True,300,0,300
43,train,1,sliding,50,350,300,25500,175000,3,23,True,300,0,300
43,train,2,sliding,100,400,300,50500,200000,6,28,True,300,0,300
43,train,3,sliding,150,450,300,75500,225000,8,31,True,300,0,300
43,train,4,sliding,200,500,300,100500,250000,13,35,True,300,0,300
43,train,5,sliding,250,550,300,125500,275000,15,38,True,300,0,300
43,train,6,sliding,300,600,300,150500,300000,19,41,True,300,0,300
44,train,0,sliding,0,300,300,500,150000,1,24,True,300,0,300
44,train,1,sliding,50,350,300,25500,175000,4,27,True,300,0,300
44,train,2,sliding,100,400,300,50500,200000,7,32,True,300,0,300
44,train,3,sliding,150,450,300,75500,225000,12,36,True,300,0,300
44,train,4,sliding,200,500,300,100500,250000,15,41,True,300,0,300
44,train,5,sliding,250,550,300,125500,275000,19,46,True,300,0,300
44,train,6,sliding,300,594,294,150500,297000,24,50,True,300,6,294
46,train,0,sliding,0,300,300,500,150000,1,17,True,300,0,300
46,train,1,sliding,50,350,300,25500,175000,5,20,True,300,0,300
46,train,2,sliding,100,400,300,50500,200000,6,23,True,300,0,300
46,train,3,sliding,150,450,300,75500,225000,9,25,True,300,0,300
46,train,4,sliding,200,500,300,100500,250000,12,28,True,300,0,300
46,train,5,sliding,250,550,300,125500,275000,16,30,True,300,0,300
46,train,6,sliding,300,600,300,150500,300000,17,31,True,300,0,300
47,train,0,sliding,0,300,300,500,150000,1,17,True,300,0,300
47,train,1,sliding,50,350,300,25500,175000,4,20,True,300,0,300
47,train,2,sliding,100,400,300,50500,200000,6,22,True,300,0,300
47,train,3,sliding,150,450,300,75500,225000,8,25,True,300,0,300
47,train,4,sliding,200,500,300,100500,250000,11,27,True,300,0,300
47,train,5,sliding,250,550,300,125500,275000,14,30,True,300,0,300
47,train,6,sliding,300,598,298,150500,299000,17,33,True,300,2,298
48,train,0,sliding,0,300,300,500,150000,1,15,True,300,0,300
48,train,1,sliding,50,350,300,25500,175000,2,18,True,300,0,300
48,train,2,sliding,100,400,300,50500,200000,4,21,True,300,0,300
48,train,3,sliding,150,450,300,75500,225000,7,23,True,300,0,300
48,train,4,sliding,200,500,300,100500,250000,11,26,True,300,0,300
48,train,5,sliding,250,550,300,125500,275000,13,27,True,300,0,300
48,train,6,sliding,300,600,300,150500,300000,15,30,True,300,0,300
50,train,0,sliding,0,300,300,500,150000,1,17,True,300,0,300
50,train,1,sliding,50,350,300,25500,175000,5,19,True,300,0,300
50,train,2,sliding,100,400,300,50500,200000,7,24,True,300,0,300
50,train,3,sliding,150,450,300,75500,225000,10,28,True,300,0,300
50,train,4,sliding,200,500,300,100500,250000,12,33,True,300,0,300
50,train,5,sliding,250,550,300,125500,275000,13,36,True,300,0,300
50,train,6,sliding,300,600,300,150500,300000,17,42,True,300,0,300
52,train,0,sliding,0,300,300,500,150000,1,20,True,300,0,300
52,train,1,sliding,50,350,300,25500,175000,5,23,True,300,0,300
52,train,2,sliding,100,400,300,50500,200000,8,27,True,300,0,300
52,train,3,sliding,150,450,300,75500,225000,12,31,True,300,0,300
52,train,4,sliding,200,500,300,100500,250000,14,33,True,300,0,300
52,train,5,sliding,250,550,300,125500,275000,17,39,True,300,0,300
52,train,6,sliding,300,586,286,150500,293000,21,40,True,300,14,286
53,train,0,sliding,0,300,300,500,150000,1,19,True,300,0,300
53,train,1,sliding,50,350,300,25500,175000,2,22,True,300,0,300
53,train,2,sliding,100,400,300,50500,200000,4,25,True,300,0,300
53,train,3,sliding,150,450,300,75500,225000,6,27,True,300,0,300
53,train,4,sliding,200,500,300,100500,250000,10,29,True,300,0,300
53,train,5,sliding,250,550,300,125500,275000,14,31,True,300,0,300
53,train,6,sliding,300,598,298,150500,299000,19,34,True,300,2,298
58,train,0,sliding,0,300,300,500,150000,1,25,True,300,0,300
58,train,1,sliding,50,350,300,25500,175000,5,31,True,300,0,300
58,train,2,sliding,100,400,300,50500,200000,7,36,True,300,0,300
58,train,3,sliding,150,450,300,75500,225000,10,41,True,300,0,300
58,train,4,sliding,200,500,300,100500,250000,16,47,True,300,0,300
58,train,5,sliding,250,550,300,125500,275000,21,51,True,300,0,300
58,train,6,sliding,300,600,300,150500,300000,25,56,True,300,0,300
58,train,7,sliding,350,610,260,175500,305000,31,56,True,300,40,260
59,train,0,sliding,0,300,300,500,150000,1,16,True,300,0,300
59,train,1,sliding,50,350,300,25500,175000,2,20,True,300,0,300
59,train,2,sliding,100,400,300,50500,200000,4,22,True,300,0,300
59,train,3,sliding,150,450,300,75500,225000,7,25,True,300,0,300
59,train,4,sliding,200,500,300,100500,250000,9,28,True,300,0,300
59,train,5,sliding,250,550,300,125500,275000,12,31,True,300,0,300
59,train,6,sliding,300,598,298,150500,299000,16,32,True,300,2,298
60,train,0,sliding,0,300,300,500,150000,1,21,True,300,0,300
60,train,1,sliding,50,350,300,25500,175000,5,25,True,300,0,300
60,train,2,sliding,100,400,300,50500,200000,8,29,True,300,0,300
60,train,3,sliding,150,450,300,75500,225000,12,34,True,300,0,300
60,train,4,sliding,200,500,300,100500,250000,15,38,True,300,0,300
60,train,5,sliding,250,550,300,125500,275000,18,41,True,300,0,300
60,train,6,sliding,300,600,300,150500,300000,21,46,True,300,0,300
62,train,0,sliding,0,300,300,500,150000,1,21,True,300,0,300
62,train,1,sliding,50,350,300,25500,175000,3,25,True,300,0,300
62,train,2,sliding,100,400,300,50500,200000,6,29,True,300,0,300
62,train,3,sliding,150,450,300,75500,225000,10,33,True,300,0,300
62,train,4,sliding,200,500,300,100500,250000,14,37,True,300,0,300
62,train,5,sliding,250,550,300,125500,275000,17,38,True,300,0,300
62,train,6,sliding,300,588,288,150500,294000,21,40,True,300,12,288
63,train,0,sliding,0,300,300,500,150000,1,16,True,300,0,300
63,train,1,sliding,50,350,300,25500,175000,2,18,True,300,0,300
63,train,2,sliding,100,400,300,50500,200000,7,20,True,300,0,300
63,train,3,sliding,150,450,300,75500,225000,8,22,True,300,0,300
63,train,4,sliding,200,500,300,100500,250000,11,24,True,300,0,300
63,train,5,sliding,250,550,300,125500,275000,15,30,True,300,0,300
63,train,6,sliding,300,594,294,150500,297000,16,33,True,300,6,294
65,train,0,sliding,0,300,300,500,150000,1,24,True,300,0,300
65,train,1,sliding,50,350,300,25500,175000,5,29,True,300,0,300
65,train,2,sliding,100,400,300,50500,200000,11,32,True,300,0,300
65,train,3,sliding,150,450,300,75500,225000,14,34,True,300,0,300
65,train,4,sliding,200,500,300,100500,250000,18,37,True,300,0,300
65,train,5,sliding,250,550,300,125500,275000,21,41,True,300,0,300
65,train,6,sliding,300,590,290,150500,295000,24,45,True,300,10,290
66,train,0,sliding,0,300,300,500,150000,1,20,True,300,0,300
66,train,1,sliding,50,350,300,25500,175000,3,21,True,300,0,300
66,train,2,sliding,100,400,300,50500,200000,7,23,True,300,0,300
66,train,3,sliding,150,450,300,75500,225000,10,27,True,300,0,300
66,train,4,sliding,200,500,300,100500,250000,15,30,True,300,0,300
66,train,5,sliding,250,550,300,125500,275000,18,33,True,300,0,300
66,train,6,sliding,300,588,288,150500,294000,20,34,True,300,12,288
68,train,0,sliding,0,300,300,500,150000,1,19,True,300,0,300
68,train,1,sliding,50,350,300,25500,175000,2,20,True,300,0,300
68,train,2,sliding,100,400,300,50500,200000,6,25,True,300,0,300
68,train,3,sliding,150,450,300,75500,225000,10,30,True,300,0,300
68,train,4,sliding,200,500,300,100500,250000,13,32,True,300,0,300
68,train,5,sliding,250,550,300,125500,275000,17,36,True,300,0,300
68,train,6,sliding,300,600,300,150500,300000,19,40,True,300,0,300
68,train,7,sliding,350,608,258,175500,304000,20,40,True,300,42,258
69,train,0,sliding,0,300,300,500,150000,1,14,True,300,0,300
69,train,1,sliding,50,350,300,25500,175000,2,16,True,300,0,300
69,train,2,sliding,100,400,300,50500,200000,4,18,True,300,0,300
69,train,3,sliding,150,450,300,75500,225000,5,21,True,300,0,300
69,train,4,sliding,200,500,300,100500,250000,8,23,True,300,0,300
69,train,5,sliding,250,550,300,125500,275000,13,25,True,300,0,300
69,train,6,sliding,300,600,300,150500,300000,14,28,True,300,0,300
69,train,7,sliding,350,602,252,175500,301000,16,28,True,300,48,252
71,train,0,sliding,0,300,300,500,150000,1,14,True,300,0,300
71,train,1,sliding,50,350,300,25500,175000,3,16,True,300,0,300
71,train,2,sliding,100,400,300,50500,200000,6,18,True,300,0,300
71,train,3,sliding,150,450,300,75500,225000,9,22,True,300,0,300
71,train,4,sliding,200,500,300,100500,250000,11,25,True,300,0,300
71,train,5,sliding,250,550,300,125500,275000,13,27,True,300,0,300
71,train,6,sliding,300,592,292,150500,296000,14,29,True,300,8,292
72,train,0,sliding,0,300,300,500,150000,1,17,True,300,0,300
72,train,1,sliding,50,350,300,25500,175000,2,20,True,300,0,300
72,train,2,sliding,100,400,300,50500,200000,5,22,True,300,0,300
72,train,3,sliding,150,450,300,75500,225000,10,25,True,300,0,300
72,train,4,sliding,200,500,300,100500,250000,12,27,True,300,0,300
72,train,5,sliding,250,550,300,125500,275000,13,30,True,300,0,300
72,train,6,sliding,300,600,300,150500,300000,17,33,True,300,0,300
72,train,7,sliding,350,604,254,175500,302000,20,33,True,300,46,254
73,train,0,sliding,0,300,300,500,150000,1,15,True,300,0,300
73,train,1,sliding,50,350,300,25500,175000,3,16,True,300,0,300
73,train,2,sliding,100,400,300,50500,200000,4,19,True,300,0,300
73,train,3,sliding,150,450,300,75500,225000,7,24,True,300,0,300
73,train,4,sliding,200,500,300,100500,250000,10,27,True,300,0,300
73,train,5,sliding,250,550,300,125500,275000,12,28,True,300,0,300
73,train,6,sliding,300,598,298,150500,299000,15,30,True,300,2,298
